run_nr;distance_measure;neighbour_count;descriptor_1;descriptor_2;weight;bin_count;guessing_accuracy (%);time_needed (min);image_set
#
# RUN 1 with Image Set 1
#
6;euklid;2;sobel;hog,6,8;0.3;0;24.83;36.45;2
6;euklid;2;sobel;hog,6,8;0.5;0;24.83;36.57;2
6;euklid;2;hog,6,8;sobel;0.7;0;24.83;38.07;2
6;euklid;2;sobel;hog,6,8;0.3;0;24.83;39.17;2
6;euklid;2;sobel;hog,6,8;0.5;0;24.83;38.88;2
6;euklid;2;sobel;hog,6,8;0.7;0;24.83;39.06;2
#
# RUN 6 with Image Set 3
#
6;euklid;8;hog,6,8;sobel;0.3;0;25.00;19.17;3
6;euklid;8;hog,6,8;sobel;0.5;0;25.00;20.86;3
6;euklid;8;hog,6,8;sobel;0.7;0;25.00;21.19;3
6;euklid;8;sobel;hog,6,8;0.3;0;25.00;21.50;3
6;euklid;8;sobel;hog,6,8;0.5;0;25.00;21.47;3
6;euklid;8;sobel;hog,6,8;0.7;0;25.00;21.49;3
6;euklid;4;hog,6,8;sobel;0.3;0;25.00;20.62;3
6;euklid;4;hog,6,8;sobel;0.5;0;25.00;17.72;3
6;euklid;4;hog,6,8;sobel;0.7;0;25.00;17.84;3
6;euklid;4;sobel;hog,6,8;0.3;0;25.00;18.04;3
6;euklid;4;sobel;hog,6,8;0.5;0;25.00;17.96;3
6;euklid;4;sobel;hog,6,8;0.7;0;25.00;17.80;3
6;euklid;2;hog,6,8;sobel;0.3;0;25.00;17.59;3
6;euklid;2;hog,6,8;sobel;0.5;0;25.00;17.68;3
6;euklid;2;hog,6,8;sobel;0.7;0;25.00;17.67;3
6;euklid;2;sobel;hog,6,8;0.3;0;25.00;17.94;3
6;euklid;2;sobel;hog,6,8;0.5;0;25.00;18.06;3
6;euklid;2;sobel;hog,6,8;0.7;0;25.00;17.99;3
#
# RUN 7 only with Image Set 1
#
7;euklid;4;3d_histo;mean;0.9;3;33.75;2.22;1
7;euklid;4;3d_histo;mean;0.7;3;33.75;2.24;1
7;euklid;4;3d_histo;mean;0.5;3;33.75;2.22;1
